2.20717e-7    1.32286e-5
2.95382e-7    7.44631e-6
4.59645e-7    4.10496e-6
6.68706e-7    2.49751e-6
9.07634e-7    1.70104e-6
1.14656e-6    1.28351e-6
1.38549e-6    1.03102e-6
1.62442e-6    8.56954e-7
1.86334e-6    7.28674e-7
2.10227e-6    6.28474e-7
2.34120e-6    5.49817e-7
2.58013e-6    4.82375e-7
2.81906e-6    4.32948e-7
3.05798e-6    3.86381e-7
3.29691e-6    3.48769e-7
3.53584e-6    3.14818e-7
3.77477e-6    2.87424e-7
4.01369e-6    2.62414e-7
4.25262e-6    2.40263e-7
4.49155e-6    2.21236e-7
4.73048e-6    2.05463e-7
4.96941e-6    1.89192e-7
5.20833e-6    1.76204e-7
5.44726e-6    1.65044e-7
5.68619e-6    1.55473e-7
5.92512e-6    1.45625e-7
6.16404e-6    1.37963e-7
6.40297e-6    1.31076e-7
6.64190e-6    1.25244e-7
6.88083e-6    1.18992e-7
7.11976e-6    1.13697e-7
7.35868e-6    1.09258e-7
7.59761e-6    1.04992e-7
7.83654e-6    1.01180e-7
8.07547e-6    9.75060e-8
8.31439e-6    9.42334e-8
8.55332e-6    9.23754e-8
8.79225e-6    8.90215e-8
9.03118e-6    8.67712e-8
9.27010e-6    8.50603e-8
9.50903e-6    8.33832e-8
9.74796e-6    8.12753e-8
9.98689e-6    8.12753e-8
1.02258e-5    7.89957e-8
1.04647e-5    7.76588e-8
1.07037e-5    7.76588e-8
1.09426e-5    7.76588e-8
1.11815e-5    7.76588e-8
1.14205e-5    7.76588e-8
1.16594e-5    7.76588e-8
1.18983e-5    7.76588e-8
1.21372e-5    7.76588e-8
1.23762e-5    7.76588e-8
1.26151e-5    7.76588e-8
1.28540e-5    7.76588e-8
1.30929e-5    7.89957e-8
1.33319e-5    8.12753e-8
1.35708e-5    8.12753e-8
1.38097e-5    8.48187e-8
1.40487e-5    8.60338e-8
1.42876e-5    8.90215e-8
1.45265e-5    9.26386e-8
1.47654e-5    9.61288e-8
1.50044e-5    1.00320e-7
1.52433e-5    1.05591e-7
1.54822e-5    1.12410e-7
1.57212e-5    1.19671e-7
1.59601e-5    1.28127e-7
1.61990e-5    1.39146e-7
1.64379e-5    1.52407e-7
1.66769e-5    1.69324e-7
1.69158e-5    1.92450e-7
1.71547e-5    2.23133e-7
1.73936e-5    2.66173e-7
1.76326e-5    3.34199e-7
1.78715e-5    4.58296e-7
1.80955e-5    7.01647e-7
1.82807e-5    1.21390e-6
1.83792e-5    1.98915e-6
